,Type of Material,Anode ,Size of Anode,Surface Area of Anode cm2,Inoculum Source/,Power Density mw/m2,Reference Number,Title,DOI,Year
0,Natural Source,Loofah Sponge,,,Effluent of MFC,701.0,151,Nanostructured macroporous bioanode based on polyaniline-modified natural loofah sponge for high-performance microbial fuel cells,10.1021/es404163g,2013
1,Natural Source,Loofah Sponge-PANI,,,Effluent of MFC,1090.0,151,Nanostructured macroporous bioanode based on polyaniline-modified natural loofah sponge for high-performance microbial fuel cells,10.1021/es404163g,2013
2,Natural Source,N/TiO2-Soofah Sponge,,,Effluent of MFC,2590.0,118,High-capacity carbon-coated titanium dioxide core-shell nanoparticles modified three dimensional anodes for improved energy output in microbial fuel cells,10.1016/j.jpowsour.2014.10.035,2015
3,Natural Source,Bamboo Charcoal Tube,,,Effluent of MFC,1652.0,157,Binder-free graphene and manganese oxide coated carbon felt anode for high-performance microbial fuel cell,10.1016/j.bios.2016.02.051,2016
4,Natural Source,Coconut Shell,,,Effluent of MFC,1069.0,150,Conversion of sewage sludge into high-performance bifunctional electrode materials for microbial energy harvesting,10.1039/C5TA00458F,2015
5,Natural Source,Compressed milling residue,,,Anaerobic Sludge,532.0,48,Biochar as a sustainable electrode material for electricity production in microbial fuel cells,10.1016/j.biortech.2014.01.058,2014
6,Natural Source,Chestnut Shells,,,Anaerobic Sludge,850.0,11,Activated microporous-mesoporous carbon derived from chestnut shell as a sustainable anode material for high performance microbial fuel cells,10.1016/j.biortech.2017.09.086,2018
7,Natural Source,Chestnut Shells,,,Effluent of MFC,759.0,16,AÂ hierarchically structured urchin-like anode derived from chestnut shells for microbial energy harvesting,10.1016/j.electacta.2016.07.077,2016
8,Natural Source,Onion,,,Effluent of MFC,742.0,63,"N, P-doped mesoporous carbon from onion as trifunctional metal-free electrode modifier for enhanced power performance and capacitive manner of microbial fuel cells",10.1016/j.electacta.2017.12.164,2018
9,Metal / Metal Oxide,TiO2-SSM,,7,Effluent of MFC,2870.0,145,Titanium dioxide thin film-modified stainless steel mesh for enhanced current-generation in microbial fuel cells,10.1016/j.cej.2017.09.132,2018
10,Metal / Metal Oxide,FeO-Carbon Paper,,12,Strain Breeding,140.5,39,Biosynthesized FeO nanoparticles coated carbon anode for improving the performance of microbial fuel cell,10.1016/j.ijhydene.2017.07.084,2017
11,Metal / Metal Oxide,Fe3O4-Carbon Cloth,,6.25,Active Sludge,728.0,136,Effect of anodes decoration with metal and metal oxides nanoparticles on pharmaceutically active compounds removal and power generation in microbial fuel cells,10.1016/j.cej.2017.10.159,2018
12,Metal / Metal Oxide,Fe3C-Graphitinized Carbon,,4,Effluent of MFC,1856.0,45,Nano-Fe3C@PGC as a novel low-cost anode electrocatalyst for superior performance microbial fuel cells,10.1016/j.bios.2019.111594,2019
13,Metal / Metal Oxide,MnO2-Carbon Felt,,7.1,Effluent of MFC,3580.0,156,Enhanced power generation of microbial fuel cell using manganese dioxide-coated anode in flow-through mode,10.1016/j.jpowsour.2014.09.129,2015
14,Metal / Metal Oxide,WO3-PANI Carbon Felt,,9,E.Coli,980.0,125,Polyaniline/mesoporous tungsten trioxide composite as anode electrocatalyst for high-performance microbial fuel cells,10.1016/j.bios.2012.09.054,2013
15,Metal / Metal Oxide,NiO/PANI -Carbon Felt,,9,Anaerobic Sludge,1079.0,166,Enhanced electricity generation performance and dye wastewater degradation of microbial fuel cell by using a petaline NiO@ polyaniline-carbon felt anode,10.1016/j.biortech.2018.01.117,2018
16,Metal / Metal Oxide,Co/CoxOy-Graphite,,6.25,Food Wastewater,576.3,90,Cobalt oxides-sheathed cobalt nano flakes to improve surface properties of carbonaceous electrodes utilized in microbial fuel cells,10.1016/j.cej.2017.05.166,2017
17,Metal / Metal Oxide,SnO2/rGO-CC,,6,E.Coli,1624.0,89,Facile microwave-assisted synthesized reduced graphene oxide/tin oxide nanocomposite and using as anode material of microbial fuel cell to improve power generation,10.1016/j.ijhydene.2014.05.008,2014
18,Metal / Metal Oxide,Mo2C-CF,,2,S.Putrefaciens ,1025.0,173,Nanoporous Mo2C functionalized 3D carbon architecture anode for boosting flavins mediated interfacial bioelectrocatalysis in microbial fuel cells,10.1016/j.jpowsour.2017.05.101,2017
19,Metal / Metal Oxide,Pd-Carbon Cloth,,10,S.Oneidensis,500.0,102,Anode decoration with biogenic Pd nanoparticles improved power generation in microbial fuel cells,10.1016/j.electacta.2015.09.157,2015
20,Metal / Metal Oxide,Au-Carbon Paper,,25,Anaerobic Granular Sludge,346.0,37,Layer-by-layer assembled gold nanoparticles modified anode and its application in microbial fuel cells,10.1016/j.colsurfa.2012.09.032,2012
21,Metal / Metal Oxide,Au-MWCNT-Carbon Cloth,,25,Anaerobic Granular Sludge,178.0,131,Anode modification by biogenic gold nanoparticles for the improved performance of microbial fuel cells and microbial community shift,10.1016/j.biortech.2018.08.092,2018
22,Metal / Metal Oxide,Niobium Manganese  Oxide Carbon Felt,,4,Effluent of MFC,1390.0,154,Porous Ni0.1Mn0.9O1.45 microellipsoids as high-performance anode electrocatalyst for microbial fuel cells,10.1016/j.bios.2017.11.046,2018
23,Metal / Metal Oxide,NiWO4/GO-Carbon Cloth,,1,Anaerobic Sludge,1458.0,33,Optimization of operating conditions of miniaturize single chambered microbial fuel cell using NiWO4/graphene oxide modified anode for performance improvement and microbial communities dynamics,10.1016/j.biortech.2019.121337,2019
24,Modified Polymer,PANI-Carbon Cloth,,4,Effluent of MFC,567.0,160,Brush-like polyaniline nanoarray modified anode for improvement of power output in microbial fuel cell,10.1016/j.biortech.2017.02.124,2017
25,Modified Polymer,Tartaric Acid PANI Carbon Cloth,,2,S.Oneidensis,490.0,68,Enhancement of power production with tartaric acid doped polyaniline nanowire network modified anode in microbial fuel cells,10.1016/j.biortech.2015.05.105,2015
26,Modified Polymer,PANI-SSP,,3.5,4%LL,780.0,108,"Exploring the use of polyaniline-modified stainless steel plates as low-cost, high-performance anodes for microbial fuel cells",10.1016/j.electacta.2018.01.163,2018
27,Modified Polymer,PANI-SSW,,7.5,4%LL,2880.0,109,Low-cost stainless-steel wool anodes modified with polyaniline and polypyrrole for high-performance microbial fuel cells,10.1016/j.jpowsour.2018.01.001,2018
28,Modified Polymer,Polypyrrole-SSW,,7.5,4%LL,1870.0,109,Low-cost stainless-steel wool anodes modified with polyaniline and polypyrrole for high-performance microbial fuel cells,10.1016/j.jpowsour.2018.01.001,2018
29,Modified Polymer,Nano Floewer - PANI- Carbon Cloth,,2,S.Oneidensis,388.6,76,Facile fabrication of conductive polyaniline nanoflower modified electrode and its application for microbial energy harvesting,10.1016/j.electacta.2017.09.153,2017
30,Modified Polymer,PANI-Graphite Carbon Cloth,,7,Effluent of MFC,884.0,47,In-situ modified carbon cloth with polyaniline/graphene as anode to enhance performance of microbial fuel cell,10.1016/j.ijhydene.2016.05.048,2016
31,Modified Polymer,Polypyrrole-SS,,4,Anaerobic Sludge,1191.0,98,Polypyrrole modified stainless steel as high performance anode of microbial fuel cell,10.1016/j.bej.2018.01.018,2018
32,Modified Polymer,Polypyrrole-MnO2-Stainless Steel,,50,Anaerobic Sludge,440.0,97,Electrodeposition of MnO 2 on polypyrrole-coated stainless steel to enhance electrochemical activities in microbial fuel cells,10.1016/j.ssi.2017.11.022,2018
33,Modified Polymer,Polypyrrole-CNT-Carbon Fiber,,-,Wastewater,1877.0,164,Enhancement of bioelectricity generation by synergistic modification of vertical carbon nanotubes/polypyrrole for the carbon fibers anode in microbial fuel cell,10.1016/j.electacta.2018.11.039,2019
34,Modified Polymer,CPH/AQS/GF,,16,Effluent of MFC,1920.0,119,Anthraquinone-2-sulfonate immobilized to conductive polypyrrole hydrogel as a bioanode to enhance power production in microbial fuel cell,10.1016/j.biortech.2017.07.189,2017
35,Modified Polymer,PEDOT-GF,,16,Anaerobic Sludge,1620.0,57,Facile reconstruction of microbial fuel cell (MFC) anode with enhanced exoelectrogens selection for intensified electricity generation,10.1016/j.ijhydene.2016.09.059,2016
36,Modified Polymer,PEDOT-CC,,7.06,S.Ioihica,140.0,75,"Poly (3,4-ethylenedioxythiophene) promotes direct electron transfer at the interface between Shewanella loihica and the anode in a microbial fuel cell",10.1016/j.jpowsour.2014.11.129,2015
37,Modified Polymer,PTh-GF,,3.5,S.Putrefaciens ,800.0,112,Modification of graphite felt using nano polypyrrole and polythiophene for microbial fuel cell applications-a comparative study,10.1016/j.ijhydene.2017.12.175,2018
38,Modified Polymer,PDA-SSM,,16,Domestic Sewage,803.0,24,Polydopamine as a new modification material to accelerate startup and promote anode performance in microbial fuel cells,10.1016/j.jpowsour.2017.01.093,2017
39,Modified Polymer,PDA-MGCF,,4,S.Putrefaciens ,1735.0,55,Macroporous graphitic carbon foam decorated with polydopamine as a high-performance anode for microbial fuel cell,10.1016/j.jpowsour.2017.07.064,2017
40,Modified Polymer,PDA-CCF,,4,Effluent of MFC,931.0,155,Macroscale porous carbonized polydopamine-modified cotton textile for application as electrode in microbial fuel cells,10.1016/j.jpowsour.2017.11.071,2018
